bhl2-JPS-17	
89	
58	
18	
15	
1.000000	0.000000
0.992800	0.000000
0.979890	0.000000
0.963520	0.000000
0.944550	0.000000
0.923500	0.000000
0.900750	0.000000
0.876580	0.000000
0.851230	0.000000
0.824890	0.000000
0.797740	0.000000
0.769910	0.000000
0.741540	0.000000
0.712750	0.000000
0.683650	0.000000
0.654340	0.000000
0.624920	0.000000
0.595470	0.000000
0.566070	0.000000
0.536800	0.000000
0.507740	0.000000
0.478950	0.000000
0.450500	0.000000
0.422460	0.000000
0.394880	0.000000
0.367820	0.000000
0.341350	0.000000
0.315510	0.000000
0.290350	0.000000
0.265940	0.000000
0.242310	0.000000
0.219510	0.000000
0.197600	0.000000
0.176610	0.000000
0.156600	0.000000
0.137600	0.000000
0.119650	0.000000
0.102800	0.000000
0.087090	0.000000
0.072560	0.000000
0.059240	0.000000
0.047170	0.000000
0.036390	0.000000
0.026940	0.000000
0.018850	0.000000
0.012150	0.000000
0.006880	0.000000
0.003080	0.000000
0.000780	0.000000
0.000000	0.000000
0.000551	0.000000
0.002113	0.000000
0.004476	0.000000
0.007427	0.000000
0.010799	0.000000
0.014472	0.000000
0.018366	0.000000
0.022428	0.000000
0.026618	0.000000
0.030908	0.000000
0.035278	0.000000
0.039713	0.000000
0.044200	0.000000
0.048732	0.000000
0.053300	0.000000
0.057898	0.000000
0.062521	0.000000
0.067165	0.000000
0.071826	0.000000
0.076501	0.000000
0.081188	0.000000
0.085884	0.000000
0.090586	0.000000
0.095292	0.000000
0.100000	0.000000
0.196880	0.000000
0.303449	0.000000
0.402485	0.000000
0.513201	0.000000
0.650007	0.000000
0.752771	0.000000
0.782344	0.000000
0.812437	0.000000
0.842982	0.000000
0.873908	0.000000
0.905144	0.000000
0.936620	0.000000
0.968263	0.000000
1.000000	0.000000

